word,R,G,B
amnesty,210,208,142
amorphous,131,108,91
amortization,34,139,34
amount,97,160,97
amour,220,20,20
amphetamines,255,255,255
amphibian,34,139,34
amphibious,32,119,117
amplification,144,177,17
amplify,182,98,18
amplitude,255,215,0
amputation,220,20,20
amuse,255,105,180
amused,255,105,180
amusement,255,134,108
amusing,255,105,180
ana,255,215,0
anaconda,30,30,30
anaesthesia,128,128,128
anaesthetic,148,114,114
anal,139,69,19
analgesic,255,255,255
analogy,79,114,164
analysis,120,147,103
analyst,255,197,127
analytic,126,82,116
anarchist,30,30,30
anarchy,125,25,25
anastomosis,34,139,34
anathema,30,30,30
anatomy,243,138,91
ancestor,128,128,128
ancestry,102,79,79
anchor,79,79,79
anchorage,105,138,133
ancient,128,128,128
anemone,255,105,180
anew,243,176,176
angelic,255,255,255
anger,220,20,20
angina,220,20,20
angiography,220,20,20
angle,139,118,54
angry,220,20,20
anguish,125,25,25
angular,255,255,255
anhydrous,197,162,137
animal,110,101,50
animate,133,58,78
animated,198,186,50
animation,180,151,66
animosity,125,25,25
animus,30,30,30
annals,137,137,137
annex,128,128,128
annexation,141,104,66
annexe,128,128,128
annihilate,30,30,30
annihilated,30,30,30
annihilation,125,25,25
annotate,128,128,128
annotation,142,142,142
announce,186,167,121
announcement,181,189,11
annoy,237,80,10
annoyance,168,88,16
annul,128,128,128
annular,255,235,127
annulment,30,30,30
annulus,30,100,200
anomalous,135,106,71
anomaly,191,116,154
anonymous,128,128,128
answer,255,228,85
answerable,111,138,111
answering,34,139,34
ant,30,30,30
antagonism,125,25,25
antagonist,125,25,25
antagonistic,156,23,23
ante,142,157,100
antecedent,137,161,194
antelope,139,69,19
antenna,30,30,30
anterior,191,191,191
anthem,220,20,20
anthology,140,123,123
anthrax,255,255,255
anthropology,139,69,19
antibiotic,144,197,144
antibiotics,255,255,255
antichrist,30,30,30
antidote,255,255,255
antimony,128,128,128
antipathy,30,30,30
antiquarian,128,64,128
antiquated,133,98,73
antique,128,128,128
antiquity,128,128,128
antiseptic,255,255,255
antisocial,30,30,30
antithetical,30,30,30
antiviral,142,157,100
anvil,128,128,128
anxiety,134,82,21
aorta,220,20,20
apace,199,177,8
apache,34,139,34
apartment,137,131,97
apathetic,79,79,79
apathy,133,98,73
ape,139,69,19
aperture,255,255,255
apex,255,255,255
aphid,34,139,34
apiece,34,139,34
aplomb,110,117,132
apocalyptic,125,25,25
apologist,30,100,200
apology,190,110,100
apostasy,99,75,59
apostate,30,30,30
apostle,197,162,137
apostolic,128,0,128
apostrophe,30,30,30
appalling,30,30,30
apparatus,128,128,128
apparently,255,255,255
apparition,255,255,255
appeal,181,81,81
appearance,255,204,157
appellant,255,255,255
append,142,148,163
appendage,226,133,158
appendicitis,220,20,20
appendix,255,255,255
appetizer,255,140,0
apple,220,20,20
appliance,128,128,128
appliances,255,255,255
applicability,144,197,144
applicable,34,139,34
applicant,95,96,78
application,128,128,128
apply,255,255,255
appoint,142,157,100
appointment,106,141,106
appointments,128,128,128
apportionment,255,255,255
appraise,34,139,34
appreciable,220,20,20
appreciation,203,154,148
apprehend,142,157,100
apprehension,93,26,26
apprehensive,128,0,128
apprenticeship,255,140,0
approach,106,151,78
approaching,128,0,128
approbation,106,128,21
appropriation,67,79,27
approval,79,99,72
approve,255,255,255
approving,128,128,128
approximate,128,128,128
approximately,128,128,128
approximation,34,139,34
apron,255,255,255
apt,59,111,71
aqua,30,100,200
aquamarine,34,139,34
aquarium,30,100,200
aquatic,30,100,200
aqueduct,30,100,200
aqueous,30,100,200
arable,34,139,34
arbiter,54,22,54
arbitrate,144,197,144
arbitration,128,128,128
arbitrator,128,42,128
arbor,34,139,34
arc,139,69,19
arcade,255,178,85
arch,212,199,127
archaeological,139,69,19
archaeologist,139,69,19
archaeology,139,69,19
archaic,133,98,73
archbishop,255,255,255
arched,136,162,136
archer,115,142,98
archery,86,104,26
archetype,255,255,255
archipelago,34,139,34
architect,174,150,134
architecture,159,159,159
arctic,255,255,255
ardent,220,20,20
ardor,220,20,20
arduous,220,20,20
area,197,162,137
arena,100,112,60
areola,255,105,180
argent,255,255,255
argue,220,20,20
argument,158,49,92
argumentation,220,20,20
argumentative,237,80,10
arguments,30,30,30
arid,135,88,55
aristocracy,79,50,164
aristocrat,128,0,128
aristocratic,128,0,128
arithmetic,30,30,30
ark,139,69,19
arm,237,137,137
armada,128,128,128
armament,30,30,30
armaments,30,30,30
armed,125,25,25
armor,128,128,128
armored,128,128,128
armory,106,88,76
arms,220,20,20
army,34,139,34
arousal,220,20,20
arouse,220,20,20
arraignment,125,25,25
arrange,142,120,100
arranged,191,116,154
arrangement,30,30,30
array,81,69,81
arrears,220,20,20
arrest,30,30,30
arrival,255,177,0
arrive,79,99,72
arrogance,220,20,20
arrogant,158,49,92
arrow,126,76,76
arsenal,30,30,30
arsenic,30,30,30
arson,220,20,20
art,128,0,128
artery,220,20,20
artful,181,116,131
arthropod,139,69,19
artichoke,34,139,34
article,255,255,255
articles,255,255,255
articulation,174,150,134
artifice,128,128,128
artillery,95,95,95
artist,30,100,200
artistic,64,79,120
ascend,255,235,127
ascension,255,255,255
ascent,142,157,100
ascertain,170,127,170
ascertained,144,177,17
ascetic,128,128,128
ash,128,128,128
ashes,128,128,128
asleep,30,100,200
asp,139,69,19
aspartame,255,255,255
aspect,79,114,164
aspects,255,215,0
asphalt,30,30,30
aspiration,255,255,255
aspire,255,105,180
ass,139,69,19
assail,172,22,22
assailant,30,30,30
assassin,125,25,25
assassinate,125,25,25
assassination,30,30,30
assault,220,20,20
assay,212,199,127
assemble,191,127,191
assembly,139,69,19
assent,255,255,255
assert,30,100,200
assertion,30,100,200
assess,76,118,76
assessment,32,84,32
assessor,30,30,30
assets,34,139,34
asshole,84,49,24
assign,144,177,17
assignee,34,139,34
assignment,142,122,15
assimilate,191,191,191
assimilation,128,128,128
assistant,34,139,34
associate,144,197,144
association,144,197,144
assortment,32,119,117
assuage,143,158,122
assuming,255,105,180
assurance,31,113,144
assure,34,139,34
assured,255,228,85
asterisk,30,30,30
astigmatism,128,128,128
astonishment,255,215,0
astral,30,100,200
astray,84,49,24
astringent,125,60,110
astrologer,128,0,128
astrology,191,107,64
astronaut,255,255,255
astronomer,30,100,200
astute,180,190,151
asunder,139,69,19
asylum,197,162,137
asymmetric,162,72,55
asymmetry,30,30,30
asymptotic,30,30,30
atelier,197,162,137
atheism,79,79,79
atheist,79,79,79
atherosclerosis,220,20,20
athlete,126,69,68
athleticism,220,20,20
athletics,34,139,34
atmosphere,137,161,194
atmospheric,30,100,200
atoll,139,69,19
atom,135,135,135
atomic,128,128,128
atone,255,255,255
atonement,255,255,255
atrocious,30,30,30
atrocity,220,20,20
atrophy,129,49,65
attach,255,180,217
attachment,255,122,90
attack,220,20,20
attainable,34,139,34
attainment,34,139,34
attempt,255,255,255
attendance,255,255,255
attendant,136,136,146
attention,142,122,15
attentive,255,140,0
attenuate,110,99,89
attenuation,191,171,64
attest,237,137,137
attestation,255,235,127
attic,128,128,128
attire,30,30,30
attitude,220,20,20
attorney,57,39,27
attraction,255,105,180
attractiveness,237,62,100
attributable,191,171,64
attribute,30,100,200
attribution,255,235,127
attrition,128,128,128
auburn,139,69,19
auction,139,69,19
auctioneer,197,142,9
audacious,255,140,0
audacity,125,25,25
audible,220,20,20
audience,141,160,90
audit,159,135,109
audition,255,215,0
auditor,159,98,90
auditorium,109,91,91
auditory,81,69,81
aught,255,255,255
augment,223,153,204
augmentation,162,92,18
august,128,0,128
aunt,255,105,180
aura,255,105,180
aurora,212,162,187
auspices,139,118,54
auspicious,143,149,167
austere,95,95,95
austerity,99,75,59
authentic,144,197,144
authentication,81,133,81
authenticity,30,100,200
author,32,84,32
authoritative,128,0,128
authorization,128,0,128
authorize,142,120,100
authorship,125,25,25
auto,220,20,20
autocratic,220,20,20
autograph,30,30,30
automatic,128,128,128
automobile,128,128,128
autopsy,126,59,59
autumn,255,140,0
auxiliary,144,139,17
avail,128,128,128
avalanche,255,255,255
avarice,32,84,32
avatar,191,191,191
avenger,220,20,20
avenue,191,191,191
average,128,128,128
averse,129,39,23
aversion,30,30,30
aviary,141,141,158
aviation,30,100,200
avocado,34,139,34
avoidance,30,30,30
avoiding,128,128,128
await,255,255,255
awake,255,215,0
awaken,255,215,0
awful,30,30,30
awkwardness,128,128,128
awning,133,98,73
awry,179,44,19
axial,128,128,128
axiomatic,87,103,23
axis,79,79,79
axle,95,95,95
aye,255,215,0
azimuth,95,118,152
azure,30,100,200
babble,81,81,94
babbling,139,69,19
baboon,139,69,19
baby,255,105,180
baccalaureate,86,104,26
back,109,74,49
backbone,211,190,206
backer,127,79,27
backgammon,30,30,30
backhoe,255,215,0
backpacker,86,104,26
backward,139,69,19
backwards,174,74,74
backwater,139,69,19
bacteria,34,139,34
bacterium,32,84,32
bad,30,30,30
badge,30,100,200
badger,139,69,19
badly,30,30,30
badness,66,43,26
baffle,128,128,128
bag,139,69,19
baggage,139,69,19
baggy,128,128,128
bagpipes,34,139,34
bail,79,114,164
bailiff,81,67,136
bake,255,140,0
baking,139,69,19
balance,255,255,255
balanced,106,126,78
bald,255,255,255
bale,84,84,109
balk,174,137,49
ball,220,20,20
ballad,122,109,123
ballast,139,69,19
ballet,255,105,180
ballot,128,128,128
balm,144,159,125
balmy,128,128,128
balsam,255,215,0
balsamic,34,139,34
ban,62,62,62
banana,255,215,0
band,142,120,100
bandage,237,137,137
bandit,30,30,30
bandwagon,197,87,99
bane,30,30,30
bang,156,23,23
banish,54,72,97
banished,30,30,30
banishment,77,27,27
banjo,139,69,19
bank,34,139,34
banker,34,139,34
bankrupt,30,30,30
bankruptcy,30,30,30
banquet,191,127,191
banter,255,105,180
baptismal,255,255,255
bar,126,59,59
barb,84,49,24
barbarian,30,30,30
barbaric,79,15,79
barbarism,220,20,20
barbecue,220,20,20
barbed,128,128,128
bard,159,104,62
bareback,139,69,19
barefoot,255,105,180
barely,139,69,19
barf,197,162,137
bargain,181,203,96
barge,128,128,128
bark,139,69,19
barn,220,20,20
barometer,99,99,115
baron,128,0,128
baroque,128,0,128
barrack,133,98,73
barred,30,30,30
barrel,139,69,19
barren,133,98,73
barricade,134,94,65
barrier,84,49,24
barring,139,69,19
barrister,30,30,30
barrow,139,69,19
barter,142,141,17
base,255,255,255
baseball,255,255,255
baseboard,139,69,19
baseless,137,137,137
basement,99,75,59
basilica,191,191,191
basin,115,87,77
basis,139,69,19
basket,139,69,19
basketball,255,140,0
bass,139,69,19
basso,30,100,200
bastard,139,69,19
bastion,128,128,128
bat,30,30,30
batch,139,69,19
batching,139,69,19
bath,30,100,200
bathe,30,100,200
bathroom,255,255,255
baton,158,108,108
battalion,220,20,20
batter,220,20,20
battered,81,32,51
battery,162,72,55
battle,220,20,20
battled,220,20,20
battlefield,220,20,20
bawdy,220,20,20
bay,66,89,139
bayonet,156,23,23
bayou,84,84,109
beach,255,215,0
beacon,255,235,127
bead,30,100,200
beading,255,105,180
beagle,139,69,19
beak,255,177,0
beaker,255,255,255
beam,255,215,0
bear,139,69,19
beard,135,88,55
bearded,139,69,19
bearer,139,69,19
bearing,191,191,191
bearings,128,128,128
bearish,139,69,19
beast,84,49,24
beastly,30,30,30
beat,125,25,25
beating,156,23,23
beau,237,137,137
beautification,220,20,20
beautiful,191,52,154
beautify,255,105,180
beauty,255,160,90
beck,139,69,19
beckon,30,100,200
bed,255,255,255
bedding,255,255,255
bedrock,128,128,128
bedroom,128,0,128
bedtime,30,30,30
bee,255,215,0
beef,139,69,19
beehive,255,215,0
beer,197,123,9
beeswax,255,215,0
befall,30,30,30
befriend,64,79,120
beg,139,69,19
beggar,111,59,21
begging,128,128,128
begin,255,255,255
beginner,255,255,255
beginning,30,100,200
begun,34,139,34
behavior,255,215,0
behemoth,84,49,24
behest,255,140,0
behold,198,206,177
beholden,128,128,128
belated,128,128,128
belay,99,99,115
belief,220,20,20
believed,255,255,255
believer,255,255,255
believing,142,177,227
belittle,30,30,30
bell,255,215,0
belligerent,130,45,21
bellow,197,142,9
bellows,139,69,19
belly,201,84,109
belt,139,69,19
bench,139,69,19
bend,167,128,39
bending,255,235,127
beneath,84,49,24
benefactor,34,139,34
beneficial,144,197,144
beneficiary,81,133,81
benefit,255,215,0
benevolence,255,205,230
bequest,34,139,34
bereaved,30,30,30
bereavement,62,86,119
bereft,79,79,79
bergamot,255,215,0
berlin,139,69,19
berserk,220,20,20
berth,30,100,200
beseech,81,69,81
bestial,99,75,59
bet,255,255,255
betray,30,30,30
betrothed,255,255,255
betterment,128,0,128
betting,34,139,34
betty,255,105,180
bevel,128,128,128
beverage,142,177,227
bevy,127,71,77
beware,125,25,25
bewildered,255,140,0
bias,158,93,16
biased,255,215,0
bib,255,191,145
biblical,170,127,170
bickering,220,20,20
bicolor,34,139,34
bid,191,149,127
bidder,128,128,128
bidding,144,177,17
biennial,34,139,34
bier,30,30,30
bifurcation,174,74,74
big,55,99,98
bigot,104,37,24
bigoted,220,20,20
bike,30,100,200
bilateral,128,64,128
bilayer,81,133,81
bile,34,139,34
bilge,135,88,55
bill,30,30,30
billet,137,137,137
billy,139,69,19
bimonthly,30,30,30
bin,79,114,164
binary,128,128,128
bind,30,100,200
bindery,128,128,128
binding,79,79,79
bing,139,69,19
binocular,30,30,30
binoculars,30,30,30
binomial,128,128,128
biogenesis,34,139,34
biographer,191,191,191
biography,216,193,176
biology,34,139,34
biopsy,220,20,20
biosphere,30,100,200
birch,139,69,19
birth,255,205,230
birthplace,255,255,255
birthright,128,0,128
bis,255,255,255
bisexual,128,0,128
bishop,137,81,52
bison,139,69,19
bit,32,84,32
bitch,220,20,20
bite,204,101,13
bitterly,30,30,30
bitterness,30,30,30
bitumen,30,30,30
biweekly,255,255,255
bizarre,159,35,96
black,30,30,30
blackberry,30,30,30
blackboard,30,30,30
blackjack,30,30,30
blackmail,30,30,30
blackness,30,30,30
blacksmith,30,30,30
bladder,255,215,0
blade,128,128,128
blame,205,68,87
blameless,255,235,127
bland,130,113,100
blank,255,255,255
blanket,30,100,200
blasphemous,30,30,30
blasphemy,220,20,20
blast,220,20,20
blaze,234,68,12
blazing,220,20,20
bleach,255,255,255
bleak,79,79,79
bleeding,220,20,20
blemish,193,36,19
blend,128,0,128
blending,34,139,34
bless,255,255,255
blessed,255,255,255
blessing,255,255,255
blessings,142,177,227
blight,66,43,26
blighted,139,69,19
blind,255,255,255
blinded,30,30,30
blindfold,30,30,30
blindfolded,105,105,105
blindly,30,30,30
blindness,30,30,30
blissful,30,100,200
blister,220,20,20
blitz,220,20,20
blizzard,255,255,255
bloated,128,128,128
blob,34,139,34
block,139,69,19
blockade,156,23,23
blond,255,215,0
blood,220,20,20
bloodhound,139,69,19
bloodless,220,20,20
bloodshed,220,20,20
bloodthirsty,220,20,20
bloody,220,20,20
bloom,255,105,180
blossom,255,105,180
blot,30,30,30
blouse,255,255,255
blower,30,100,200
blowing,30,100,200
blown,255,215,0
blue,30,100,200
blues,30,100,200
bluff,128,128,128
bluish,30,100,200
blunder,140,115,38
blunt,128,128,128
blur,128,128,128
blurred,128,128,128
blush,237,62,100
blushing,237,62,100
boa,220,20,20
boar,99,75,59
board,135,88,55
boarder,139,69,19
boarding,191,171,64
boards,139,69,19
boast,174,10,74
boasting,135,79,20
boating,30,100,200
bodice,255,255,255
bodily,255,105,180
body,204,76,13
bodyguard,30,65,115
bog,139,69,19
bogus,255,140,0
boil,220,20,20
boilerplate,30,30,30
boiling,220,20,20
boisterous,205,45,42
bold,125,60,110
boldness,246,167,132
bolster,142,142,142
bolt,170,157,85
bolus,104,92,24
bomb,30,30,30
bombard,220,20,20
bombardment,30,30,30
bomber,30,30,30
bond,165,169,97
bondage,30,30,30
bonds,34,139,34
bone,255,255,255
bones,255,255,255
bonfire,243,100,6
bonne,255,255,255
bonnet,255,255,255
bonus,144,177,17
bony,255,255,255
boo,30,30,30
boob,255,105,180
booby,255,140,0
book,138,120,108
bookcase,139,69,19
bookkeeper,64,99,64
bookkeeping,34,139,34
booklet,255,255,255
books,30,30,30
bookseller,128,128,128
bookshop,30,100,200
bookstore,255,255,255
bookworm,255,255,255
boomerang,139,69,19
booming,174,74,74
boot,139,69,19
booth,174,112,49
booze,139,69,19
border,99,75,59
bordering,139,69,19
bore,128,128,128
boreal,30,100,200
boredom,128,128,128
borer,139,69,19
boring,128,128,128
borough,133,98,73
borrow,220,20,20
borrower,34,139,34
bosom,255,105,180
boss,156,23,23
botanical,34,139,34
botanist,34,139,34
botany,34,139,34
bother,84,49,24
bothering,255,140,0
bottle,181,216,181
bottom,111,59,21
bottomless,30,30,30
boulder,139,69,19
bounce,220,20,20
bound,30,30,30
boundary,30,30,30
boundless,255,255,255
bouquet,255,105,180
bourgeoisie,255,255,255
bout,179,44,19
bovine,84,49,24
bowed,133,98,73
bowels,139,69,19
bowl,142,142,142
box,102,79,79
boxer,139,69,19
boxing,220,20,20
boy,30,100,200
boycott,30,30,30
boyhood,30,100,200
boyish,30,100,200
brace,139,69,19
bracelet,255,215,0
braces,30,30,30
bracket,30,30,30
brackets,30,30,30
brackish,197,162,137
brad,128,128,128
brag,34,139,34
braid,139,69,19
brain,128,128,128
brains,174,74,74
bran,139,69,19
branch,139,69,19
branching,86,104,26
brandy,139,69,19
brass,197,142,9
bravado,237,80,10
bravery,125,60,110
brawl,199,32,19
brazen,220,20,20
breach,174,74,74
bread,197,162,137
break,220,20,20
breakable,255,215,0
breakdown,79,79,79
breaker,30,100,200
breakers,30,100,200
breakfast,255,215,0
breakneck,220,20,20
breakup,30,100,200
breath,128,128,128
breech,128,128,128
breeches,84,84,109
breed,133,74,23
breeder,220,20,20
breeding,255,105,180
breezy,30,100,200
brew,197,142,9
brewing,34,139,34
bribe,32,102,32
bribery,34,139,34
brick,220,20,20
bridal,255,255,255
bride,255,255,255
bridegroom,30,30,30
bridge,133,98,73
bridle,135,88,55
briefly,255,255,255
brig,128,128,128
brigade,30,100,200
brighten,255,215,0
brightness,255,235,127
brilliant,255,255,255
brim,30,30,30
brimstone,255,215,0
brine,30,100,200
bristle,191,191,191
brittle,30,30,30
broadcast,255,255,255
broadside,220,20,20
brochure,255,255,255
broil,220,20,20
broken,30,30,30
broker,34,139,34
brokerage,34,139,34
bronco,139,69,19
bronze,177,92,12
brood,255,140,0
brooding,30,30,30
brook,30,100,200
broom,139,69,19
broth,255,215,0
brothel,189,13,56
brother,30,100,200
brotherhood,32,119,117
brow,111,59,21
brown,139,69,19
bruise,62,43,119
brunette,139,69,19
brunt,191,134,64
brush,139,69,19
brutal,84,49,24
brutality,220,20,20
brute,129,39,23
bubble,255,255,255
bubbling,142,177,227
buck,139,69,19
bucket,128,128,128
buckle,30,30,30
bud,34,139,34
budget,30,30,30
buffalo,139,69,19
buffer,30,100,200
bug,30,30,30
bugaboo,94,63,28
buggy,30,30,30
bugle,212,186,42
build,139,69,19
builder,34,139,34
building,133,98,73
buildings,128,128,128
bulb,144,177,17
bulbous,105,78,136
bulge,139,69,19
bulk,139,69,19
bulkhead,128,128,128
bulky,220,20,20
bull,139,69,19
bulldog,166,52,19
bulldozer,197,104,9
bullet,79,79,79
bulletin,197,162,137
bulletproof,128,128,128
bullock,86,104,26
bulwark,128,128,128
bum,139,69,19
bummer,133,98,73
bump,139,69,19
bun,139,69,19
bunch,255,105,180
bunker,139,69,19
bunt,191,191,191
buoy,30,100,200
bur,135,88,55
burden,139,69,19
burdensome,128,128,128
bureau,139,69,19
bureaucracy,255,255,255
burglar,30,30,30
burglary,220,20,20
burial,30,30,30
buried,139,69,19
burke,30,30,30
burlap,139,69,19
burlesque,220,20,20
burly,139,69,19
burn,228,50,15
burner,220,20,20
burning,220,20,20
burnished,139,69,19
burnout,220,20,20
burnt,125,25,25
burr,133,98,73
bursary,34,139,34
bury,81,64,51
bus,255,215,0
bush,34,139,34
bushel,139,69,19
bushy,139,69,19
buss,237,62,100
busted,179,44,19
bustling,197,87,99
busy,87,84,23
butane,32,84,32
butcher,220,20,20
butler,128,128,128
butter,255,215,0
buttery,255,215,0
buttock,197,87,99
button,255,255,255
buttress,133,98,73
buxom,255,105,180
buy,127,79,27
buyer,34,139,34
buying,220,20,20
buzz,255,215,0
buzzer,255,255,255
